0,random,0,False,2,96,-27.361111111111104,93,96,-9.702702702702702,171
1,random,0,False,2,96,-27.361111111111104,94,96,-9.702702702702702,183
2,random,0,False,1,144,-42.03703703703704,16
3,random,0,False,1,153,-53.912037037037045,13
4,random,0,False,1,144,-42.03703703703704,17
5,random,0,False,2,96,-27.361111111111104,95,96,-9.702702702702702,198
6,random,0,False,2,96,-27.361111111111104,96,96,-9.702702702702702,166
7,random,0,False,2,204,86.31944444444446,7,207,136.3378378378378,104
8,random,0,False,2,96,-27.361111111111104,97,96,-9.702702702702702,170
9,random,0,False,2,96,-27.361111111111104,98,96,-9.702702702702702,197
10,random,0,False,2,96,-27.361111111111104,99,96,-9.702702702702702,178
11,random,0,False,1,144,-42.03703703703704,18
12,random,0,False,2,96,-27.361111111111104,100,96,-9.702702702702702,194
13,random,0,False,2,96,-27.361111111111104,101,96,-9.702702702702702,196
14,random,0,False,1,144,-42.03703703703704,19
15,random,0,False,1,144,-42.03703703703704,20
16,random,0,False,2,96,-27.361111111111104,102,96,-9.702702702702702,172
17,random,0,False,2,96,-27.361111111111104,103,96,-9.702702702702702,174
18,random,0,False,1,144,-42.03703703703704,21
19,random,0,False,1,144,-42.03703703703704,22
20,random,0,False,2,96,-27.361111111111104,104,96,-9.702702702702702,179
21,random,0,False,2,96,-27.361111111111104,105,96,-9.702702702702702,152
22,random,0,False,1,144,-42.03703703703704,23
23,random,0,False,2,186,-13.981481481481467,10,96,-9.702702702702702,147
24,random,0,False,2,96,-27.361111111111104,106,96,-9.702702702702702,165
25,random,0,False,2,96,-27.361111111111104,107,96,-9.702702702702702,161
26,random,0,False,2,96,-27.361111111111104,108,96,-9.702702702702702,158
27,random,0,False,2,96,-27.361111111111104,109,96,-9.702702702702702,175
28,random,0,False,2,96,-27.361111111111104,110,96,-9.702702702702702,150
29,random,0,False,1,144,-42.03703703703704,24
30,random,0,False,1,144,-42.03703703703704,25
31,random,0,False,2,96,-27.361111111111104,111,96,-9.702702702702702,188
32,random,0,False,2,96,-27.361111111111104,112,96,-9.702702702702702,144
33,random,0,False,1,144,-42.03703703703704,26
34,random,0,False,1,144,-42.03703703703704,27
35,random,0,False,1,144,-42.03703703703704,28
36,random,0,False,1,144,-42.03703703703704,29
37,random,0,False,1,144,-42.03703703703704,30
38,random,0,False,2,96,-27.361111111111104,113,96,-9.702702702702702,190
39,random,0,False,2,96,-27.361111111111104,114,96,-9.702702702702702,164
40,random,0,False,1,174,-49.837962962962955,11
41,random,0,False,1,144,-42.03703703703704,31
