#1,0.1,0.25,0.4,0.5,0.6,0.75,0.9,#-1
246,144,144,144,144,96,96,96,96
1083,219,144,144,144,144,96,96,96
363,228,210,210,204,144,96,96,96
966,963,963,963,963,963,243,210,96
4707,1116,1089,1077,1077,1074,1071,156,96
3147,1122,1071,246,231,216,210,204,96
6561,6411,6396,3150,3021,2130,366,144,96
6687,789,786,786,567,534,501,144,96
6000,4560,4542,4539,4536,3567,1380,216,96
11316,4422,4389,243,240,225,219,207,96
11184,2535,2517,2517,531,510,495,348,96
14406,2706,2685,2670,807,786,369,348,96
14406,7851,2832,1092,1089,1086,360,144,96
14406,3420,3378,3378,3378,3378,2373,96,96
14406,14406,14406,2661,1839,1392,678,96,96
14406,13749,13740,3156,1248,678,657,144,96
14406,10335,3855,3822,2376,951,942,96,96
14406,14406,14406,14406,14406,1083,552,144,96
14406,2109,2088,2088,2088,2088,1563,144,96
14406,1689,1677,1668,1668,1662,813,165,96
14406,14406,14406,12597,3378,1650,375,144,96
14406,14406,14406,816,801,801,228,144,96
14406,14406,14406,14406,14406,2544,366,96,96
14406,14406,3414,2094,2094,2094,1374,144,96
14406,14406,14406,14406,14406,14406,369,96,96
14406,14406,14406,14406,14406,14406,531,144,96
14406,9450,9450,9450,9450,9450,2970,96,96
14406,14406,14406,14406,14406,7875,7875,96,96
14406,13608,4239,798,798,795,366,96,96
14406,14406,14406,14406,14406,13908,1368,96,96
